Audio File,Attack Error
Bb3_bad1.wav,noisy/unclean attack
Bb3_bad2.wav,delayed stabilization of pitch and resonance
Bb4_bad1.wav,noisy/unclean attack
Bb4_bad2.wav,attack with breath noise
Bb4_bad3.wav,noisy/unclean attack
Bb4_bad4.wav,rather noisy/unclean attack with delayed stabilization of resonance
Bb4_bad5.wav,delayed stabilization of pitch
Bb4_bad6.wav,attack with breath noise
Bb4_bad7.wav,attack with breath noise
Bb4_bad8.wav,rather noisy/unclean attack with delayed stabilization of resonance
Bb4_bad9.wav,delayed stabilization of pitch
Bb4_bad10.wav,noisy/unclean attack
Bb4_bad11.wav,noisy/unclean attack
Bb4_bad12.wav,delayed stabilization of pitch
Bb4_bad13.wav,noisy/unclean attack
Bb4_bad14.wav,delayed stabilization of pitch
Bb4_bad15.wav,delayed stabilization of pitch
Bb4_bad16.wav,delayed stabilization of pitch
Bb4_bad17.wav,noisy/unclean attack
Bb4_bad18.wav,delayed stabilization of pitch
Bb4_bad19.wav,delayed stabilization of pitch
Bb4_bad20.wav,noisy/unclean attack
Bb4_bad21.wav,delayed stabilization of pitch
Bb4_bad22.wav,delayed stabilization of pitch
D4_bad1.wav,noisy/unclean attack
D4_bad2.wav,noisy/unclean attack
D4_bad3.wav,delayed stabilization of resonance
D4_bad4.wav,delayed stabilization of resonance
D5_bad1.wav,delayed stabilization of pitch
D5_bad2.wav,delayed stabilization of pitch
D5_bad3.wav,noisy/unclean attack
D5_bad4.wav,attack with breath noise
D5_bad5.wav,attack with breath noise
D5_bad6.wav,attack with breath noise
D5_bad7.wav,noisy/unclean attack
D5_bad8.wav,noisy/unclean attack
D5_bad9.wav,noisy/unclean attack
D5_bad10.wav,delayed stabilization of pitch
D5_bad11.wav,noisy/unclean attack
D5_bad12.wav,delayed stabilization of pitch
D5_bad13.wav,delayed stabilization of pitch
D5_bad14.wav,attack with breath noise
D5_bad15.wav,attack with breath noise
D5_bad16.wav,attack with breath noise
D5_bad17.wav,delayed stabilization of pitch
D5_bad18.wav,delayed stabilization of pitch
D5_bad19.wav,noisy/unclean attack
D5_bad20.wav,noisy/unclean attack
D5_bad21.wav,attack with breath noise
D5_bad22.wav,noisy/unclean attack
D5_bad23.wav,delayed stabilization of pitch
F4_bad1.wav,noisy/unclean attack
F4_bad2.wav,noisy/unclean attack
F4_bad3.wav,noisy/unclean attack
F4_bad4.wav,rather noisy/unclean attack with delayed stabilization of resonance
F4_bad5.wav,delayed stabilization of pitch and resonance
F4_bad6.wav,noisy/unclean attack
F4_bad7.wav,attack with breath noise and delayed stabilization of resonance
F4_bad8.wav,noisy/unclean attack
F5_bad1.wav,attack with breath noise
F5_bad2.wav,attack with breath noise
F5_bad3.wav,delayed stabilization of pitch
F5_bad4.wav,noisy/unclean attack
F5_bad5.wav,noisy/unclean attack
F5_bad6.wav,noisy/unclean attack
F5_bad7.wav,delayed stabilization of pitch
F5_bad8.wav,noisy/unclean attack
F5_bad9.wav,noisy/unclean attack
F5_bad10.wav,noisy/unclean attack
F5_bad11.wav,noisy/unclean attack
F5_bad12.wav,noisy/unclean attack
F5_bad13.wav,attack with breath noise
F5_bad14.wav,delayed stabilization of pitch
F5_bad15.wav,delayed stabilization of pitch
F5_bad16.wav,delayed stabilization of pitch
F5_bad17.wav,delayed stabilization of pitch
F5_bad18.wav,delayed stabilization of pitch
F5_bad19.wav,delayed stabilization of pitch
F5_bad20.wav,noisy/unclean attack
F5_bad21.wav,delayed stabilization of pitch
F5_bad22.wav,delayed stabilization of pitch
F5_bad23.wav,delayed stabilization of pitch
F5_bad24.wav,delayed stabilization of pitch
F5_bad25.wav,delayed stabilization of pitch
F5_bad26.wav,delayed stabilization of pitch
F5_bad27.wav,attack with breath noise
F5_bad28.wav,attack with breath noise
F5_bad29.wav,attack with breath noise
F5_bad30.wav,attack with breath noise